epoch 1 ,iteration 99,training cost 36.887902 %,train error 10.800000 %,validation error 7.460000 %
epoch 2 ,iteration 199,training cost 18.779063 %,train error 5.800000 %,validation error 5.040000 %
epoch 3 ,iteration 299,training cost 16.783756 %,train error 4.800000 %,validation error 4.150000 %
epoch 4 ,iteration 399,training cost 13.369061 %,train error 4.800000 %,validation error 3.380000 %
epoch 5 ,iteration 499,training cost 11.851222 %,train error 4.200000 %,validation error 2.830000 %
epoch 6 ,iteration 599,training cost 10.653853 %,train error 3.000000 %,validation error 2.630000 %
epoch 7 ,iteration 699,training cost 9.651776 %,train error 2.400000 %,validation error 2.430000 %
epoch 8 ,iteration 799,training cost 8.129057 %,train error 2.000000 %,validation error 2.290000 %
epoch 9 ,iteration 899,training cost 6.485590 %,train error 1.800000 %,validation error 2.160000 %
epoch 10 ,iteration 999,training cost 9.712216 %,train error 3.600000 %,validation error 1.980000 %
epoch 11 ,iteration 1099,training cost 7.148373 %,train error 2.200000 %,validation error 1.940000 %
epoch 12 ,iteration 1199,training cost 6.521703 %,train error 2.200000 %,validation error 1.790000 %
epoch 13 ,iteration 1299,training cost 2.297998 %,train error 0.200000 %,validation error 1.670000 %
epoch 14 ,iteration 1399,training cost 3.272722 %,train error 0.800000 %,validation error 1.620000 %
epoch 15 ,iteration 1499,training cost 4.854579 %,train error 1.200000 %,validation error 1.650000 %
epoch 16 ,iteration 1599,training cost 3.861384 %,train error 1.000000 %,validation error 1.630000 %
epoch 17 ,iteration 1699,training cost 2.710353 %,train error 0.600000 %,validation error 1.590000 %
epoch 18 ,iteration 1799,training cost 3.601781 %,train error 1.200000 %,validation error 1.510000 %
epoch 19 ,iteration 1899,training cost 5.715610 %,train error 1.800000 %,validation error 1.530000 %
epoch 20 ,iteration 1999,training cost 4.016984 %,train error 1.000000 %,validation error 1.500000 %
epoch 21 ,iteration 2099,training cost 2.754401 %,train error 0.600000 %,validation error 1.450000 %
epoch 22 ,iteration 2199,training cost 5.441734 %,train error 2.000000 %,validation error 1.450000 %
epoch 23 ,iteration 2299,training cost 3.346921 %,train error 0.800000 %,validation error 1.410000 %
epoch 24 ,iteration 2399,training cost 3.992669 %,train error 1.000000 %,validation error 1.400000 %
epoch 25 ,iteration 2499,training cost 2.035100 %,train error 1.000000 %,validation error 1.300000 %
epoch 26 ,iteration 2599,training cost 1.816623 %,train error 0.400000 %,validation error 1.350000 %
epoch 27 ,iteration 2699,training cost 3.121131 %,train error 1.000000 %,validation error 1.300000 %
epoch 28 ,iteration 2799,training cost 3.749554 %,train error 0.800000 %,validation error 1.280000 %
epoch 29 ,iteration 2899,training cost 1.428008 %,train error 0.200000 %,validation error 1.320000 %
epoch 30 ,iteration 2999,training cost 2.779731 %,train error 0.800000 %,validation error 1.320000 %
epoch 31 ,iteration 3099,training cost 2.297660 %,train error 0.600000 %,validation error 1.270000 %
epoch 32 ,iteration 3199,training cost 1.536853 %,train error 0.400000 %,validation error 1.230000 %
epoch 33 ,iteration 3299,training cost 2.651979 %,train error 0.800000 %,validation error 1.210000 %
epoch 34 ,iteration 3399,training cost 4.733864 %,train error 0.800000 %,validation error 1.230000 %
epoch 35 ,iteration 3499,training cost 2.844770 %,train error 0.800000 %,validation error 1.240000 %
epoch 36 ,iteration 3599,training cost 1.822363 %,train error 0.400000 %,validation error 1.200000 %
epoch 37 ,iteration 3699,training cost 1.441026 %,train error 0.000000 %,validation error 1.210000 %
epoch 38 ,iteration 3799,training cost 2.576194 %,train error 0.600000 %,validation error 1.230000 %
epoch 39 ,iteration 3899,training cost 2.320828 %,train error 0.800000 %,validation error 1.160000 %
epoch 40 ,iteration 3999,training cost 1.069425 %,train error 0.200000 %,validation error 1.140000 %
epoch 41 ,iteration 4099,training cost 1.689222 %,train error 0.400000 %,validation error 1.160000 %
epoch 42 ,iteration 4199,training cost 3.269662 %,train error 1.000000 %,validation error 1.290000 %
epoch 43 ,iteration 4299,training cost 1.044937 %,train error 0.000000 %,validation error 1.170000 %
epoch 44 ,iteration 4399,training cost 0.842924 %,train error 0.200000 %,validation error 1.130000 %
epoch 45 ,iteration 4499,training cost 1.768418 %,train error 0.600000 %,validation error 1.120000 %
epoch 46 ,iteration 4599,training cost 1.617271 %,train error 0.400000 %,validation error 1.150000 %
epoch 47 ,iteration 4699,training cost 3.204265 %,train error 0.600000 %,validation error 1.090000 %
epoch 48 ,iteration 4799,training cost 1.546240 %,train error 0.200000 %,validation error 1.130000 %
epoch 49 ,iteration 4899,training cost 2.770454 %,train error 0.800000 %,validation error 1.140000 %
epoch 50 ,iteration 4999,training cost 1.758100 %,train error 0.200000 %,validation error 1.090000 %
epoch 51 ,iteration 5099,training cost 0.796678 %,train error 0.200000 %,validation error 1.080000 %
epoch 52 ,iteration 5199,training cost 0.669053 %,train error 0.000000 %,validation error 1.070000 %
epoch 53 ,iteration 5299,training cost 0.790634 %,train error 0.200000 %,validation error 1.090000 %
epoch 54 ,iteration 5399,training cost 1.280511 %,train error 0.200000 %,validation error 1.100000 %
epoch 55 ,iteration 5499,training cost 1.125012 %,train error 0.400000 %,validation error 1.100000 %
epoch 56 ,iteration 5599,training cost 1.218190 %,train error 0.200000 %,validation error 1.110000 %
epoch 57 ,iteration 5699,training cost 0.724027 %,train error 0.000000 %,validation error 1.070000 %
epoch 58 ,iteration 5799,training cost 0.798689 %,train error 0.000000 %,validation error 1.160000 %
epoch 59 ,iteration 5899,training cost 1.072520 %,train error 0.200000 %,validation error 1.120000 %
epoch 60 ,iteration 5999,training cost 0.634840 %,train error 0.000000 %,validation error 1.130000 %
epoch 61 ,iteration 6099,training cost 0.700229 %,train error 0.200000 %,validation error 1.090000 %
epoch 62 ,iteration 6199,training cost 1.053691 %,train error 0.000000 %,validation error 1.090000 %
epoch 63 ,iteration 6299,training cost 0.358746 %,train error 0.000000 %,validation error 1.120000 %
epoch 64 ,iteration 6399,training cost 1.020384 %,train error 0.200000 %,validation error 1.060000 %
epoch 65 ,iteration 6499,training cost 0.747043 %,train error 0.200000 %,validation error 1.070000 %
epoch 66 ,iteration 6599,training cost 0.538435 %,train error 0.000000 %,validation error 1.100000 %
epoch 67 ,iteration 6699,training cost 0.423366 %,train error 0.000000 %,validation error 1.050000 %
epoch 68 ,iteration 6799,training cost 0.882122 %,train error 0.200000 %,validation error 1.100000 %
epoch 69 ,iteration 6899,training cost 0.730106 %,train error 0.000000 %,validation error 1.110000 %
epoch 70 ,iteration 6999,training cost 1.276750 %,train error 0.400000 %,validation error 1.080000 %
epoch 71 ,iteration 7099,training cost 0.695428 %,train error 0.000000 %,validation error 1.100000 %
epoch 72 ,iteration 7199,training cost 2.580502 %,train error 0.400000 %,validation error 1.060000 %
epoch 73 ,iteration 7299,training cost 0.460236 %,train error 0.000000 %,validation error 1.060000 %
epoch 74 ,iteration 7399,training cost 0.857527 %,train error 0.000000 %,validation error 1.090000 %
epoch 75 ,iteration 7499,training cost 0.408183 %,train error 0.000000 %,validation error 1.050000 %
epoch 76 ,iteration 7599,training cost 0.592038 %,train error 0.200000 %,validation error 1.060000 %
epoch 77 ,iteration 7699,training cost 0.726810 %,train error 0.000000 %,validation error 1.040000 %
epoch 78 ,iteration 7799,training cost 0.415524 %,train error 0.000000 %,validation error 1.060000 %
epoch 79 ,iteration 7899,training cost 0.663676 %,train error 0.200000 %,validation error 1.060000 %
epoch 80 ,iteration 7999,training cost 0.969443 %,train error 0.200000 %,validation error 1.050000 %
epoch 81 ,iteration 8099,training cost 0.802712 %,train error 0.000000 %,validation error 1.040000 %
epoch 82 ,iteration 8199,training cost 0.577787 %,train error 0.000000 %,validation error 1.020000 %
epoch 83 ,iteration 8299,training cost 0.610135 %,train error 0.000000 %,validation error 1.050000 %
epoch 84 ,iteration 8399,training cost 0.700646 %,train error 0.000000 %,validation error 1.070000 %
epoch 85 ,iteration 8499,training cost 0.537823 %,train error 0.000000 %,validation error 1.040000 %
epoch 86 ,iteration 8599,training cost 1.464490 %,train error 0.200000 %,validation error 1.080000 %
epoch 87 ,iteration 8699,training cost 0.951801 %,train error 0.200000 %,validation error 1.020000 %
epoch 88 ,iteration 8799,training cost 0.692094 %,train error 0.000000 %,validation error 1.020000 %
epoch 89 ,iteration 8899,training cost 0.570862 %,train error 0.000000 %,validation error 1.030000 %
epoch 90 ,iteration 8999,training cost 1.028320 %,train error 0.200000 %,validation error 1.040000 %
epoch 91 ,iteration 9099,training cost 0.623839 %,train error 0.000000 %,validation error 1.060000 %
epoch 92 ,iteration 9199,training cost 0.386975 %,train error 0.000000 %,validation error 1.040000 %
epoch 93 ,iteration 9299,training cost 0.464512 %,train error 0.000000 %,validation error 1.020000 %
epoch 94 ,iteration 9399,training cost 0.388829 %,train error 0.000000 %,validation error 1.040000 %
epoch 95 ,iteration 9499,training cost 0.465738 %,train error 0.000000 %,validation error 1.030000 %
epoch 96 ,iteration 9599,training cost 0.801298 %,train error 0.200000 %,validation error 1.080000 %
epoch 97 ,iteration 9699,training cost 0.428500 %,train error 0.000000 %,validation error 1.010000 %
epoch 98 ,iteration 9799,training cost 0.808928 %,train error 0.200000 %,validation error 1.030000 %
epoch 99 ,iteration 9899,training cost 0.282842 %,train error 0.000000 %,validation error 1.020000 %
epoch 100 ,iteration 9999,training cost 0.338484 %,train error 0.000000 %,validation error 1.050000 %
Optimization complete with best validation loss of 1.010000 %
The code run for 100 epochs 4138 secs ,with 0.024164 epcohs/sec
