[building  the model]
.....................layer0 is built,(conv+pool)
.....................layer1 is built,(conv+pool)
.....................layer2,layer3 are built,(MLP+LR)
[compiling the model]
############################
# Compliled,start training #
############################

epoch 1 ,iteration 99,training cost 44.587854 %,train error 12.000000 %,validation error 8.370000 %
epoch 2 ,iteration 199,training cost 32.675576 %,train error 9.600000 %,validation error 5.930000 %
epoch 3 ,iteration 299,training cost 25.156862 %,train error 7.200000 %,validation error 4.570000 %
epoch 4 ,iteration 399,training cost 20.562933 %,train error 5.800000 %,validation error 3.580000 %
epoch 5 ,iteration 499,training cost 17.846219 %,train error 5.200000 %,validation error 3.040000 %
epoch 6 ,iteration 599,training cost 15.950763 %,train error 4.800000 %,validation error 2.980000 %
epoch 7 ,iteration 699,training cost 14.541771 %,train error 4.000000 %,validation error 2.560000 %
epoch 8 ,iteration 799,training cost 12.019163 %,train error 3.400000 %,validation error 2.490000 %
epoch 9 ,iteration 899,training cost 12.060730 %,train error 3.000000 %,validation error 2.340000 %
epoch 10 ,iteration 999,training cost 11.071458 %,train error 3.000000 %,validation error 2.280000 %
epoch 11 ,iteration 1099,training cost 9.997275 %,train error 3.000000 %,validation error 2.060000 %
epoch 12 ,iteration 1199,training cost 9.243131 %,train error 2.200000 %,validation error 2.190000 %
epoch 13 ,iteration 1299,training cost 9.201364 %,train error 3.000000 %,validation error 2.070000 %
epoch 14 ,iteration 1399,training cost 7.617862 %,train error 2.000000 %,validation error 1.910000 %
epoch 15 ,iteration 1499,training cost 7.800496 %,train error 2.200000 %,validation error 1.900000 %
epoch 16 ,iteration 1599,training cost 7.713209 %,train error 2.200000 %,validation error 1.880000 %
epoch 17 ,iteration 1699,training cost 7.777320 %,train error 2.600000 %,validation error 1.780000 %
epoch 18 ,iteration 1799,training cost 6.749507 %,train error 1.600000 %,validation error 1.740000 %
epoch 19 ,iteration 1899,training cost 7.000171 %,train error 2.400000 %,validation error 1.600000 %
epoch 20 ,iteration 1999,training cost 6.046972 %,train error 1.800000 %,validation error 1.690000 %
epoch 21 ,iteration 2099,training cost 5.812437 %,train error 2.000000 %,validation error 1.570000 %
epoch 22 ,iteration 2199,training cost 5.777435 %,train error 1.600000 %,validation error 1.630000 %
epoch 23 ,iteration 2299,training cost 5.223318 %,train error 2.200000 %,validation error 1.650000 %
epoch 24 ,iteration 2399,training cost 5.321980 %,train error 2.000000 %,validation error 1.610000 %
epoch 25 ,iteration 2499,training cost 4.552105 %,train error 1.400000 %,validation error 1.490000 %
epoch 26 ,iteration 2599,training cost 5.300361 %,train error 1.600000 %,validation error 1.530000 %
epoch 27 ,iteration 2699,training cost 4.942971 %,train error 1.400000 %,validation error 1.520000 %
epoch 28 ,iteration 2799,training cost 4.424657 %,train error 1.200000 %,validation error 1.350000 %
epoch 29 ,iteration 2899,training cost 4.454638 %,train error 1.000000 %,validation error 1.350000 %
epoch 30 ,iteration 2999,training cost 4.496587 %,train error 1.800000 %,validation error 1.430000 %
epoch 31 ,iteration 3099,training cost 4.893827 %,train error 1.600000 %,validation error 1.490000 %
epoch 32 ,iteration 3199,training cost 4.679843 %,train error 1.600000 %,validation error 1.380000 %
epoch 33 ,iteration 3299,training cost 3.466084 %,train error 0.600000 %,validation error 1.300000 %
epoch 34 ,iteration 3399,training cost 4.022513 %,train error 1.000000 %,validation error 1.350000 %
epoch 35 ,iteration 3499,training cost 4.289828 %,train error 1.600000 %,validation error 1.330000 %
epoch 36 ,iteration 3599,training cost 3.761825 %,train error 1.800000 %,validation error 1.260000 %
epoch 37 ,iteration 3699,training cost 3.029646 %,train error 1.000000 %,validation error 1.240000 %
epoch 38 ,iteration 3799,training cost 3.495783 %,train error 1.400000 %,validation error 1.340000 %
epoch 39 ,iteration 3899,training cost 3.473007 %,train error 1.000000 %,validation error 1.330000 %
epoch 40 ,iteration 3999,training cost 3.337508 %,train error 1.000000 %,validation error 1.290000 %
epoch 41 ,iteration 4099,training cost 3.280808 %,train error 1.200000 %,validation error 1.330000 %
epoch 42 ,iteration 4199,training cost 3.481728 %,train error 1.200000 %,validation error 1.260000 %
epoch 43 ,iteration 4299,training cost 3.242069 %,train error 1.200000 %,validation error 1.320000 %
epoch 44 ,iteration 4399,training cost 2.808572 %,train error 1.200000 %,validation error 1.250000 %
epoch 45 ,iteration 4499,training cost 3.455661 %,train error 1.200000 %,validation error 1.200000 %
epoch 46 ,iteration 4599,training cost 2.375495 %,train error 0.600000 %,validation error 1.230000 %
epoch 47 ,iteration 4699,training cost 2.554748 %,train error 0.800000 %,validation error 1.320000 %
epoch 48 ,iteration 4799,training cost 2.711830 %,train error 0.600000 %,validation error 1.210000 %
epoch 49 ,iteration 4899,training cost 2.694711 %,train error 1.000000 %,validation error 1.210000 %
epoch 50 ,iteration 4999,training cost 2.631733 %,train error 0.800000 %,validation error 1.140000 %
epoch 51 ,iteration 5099,training cost 1.962262 %,train error 0.200000 %,validation error 1.240000 %
epoch 52 ,iteration 5199,training cost 2.250975 %,train error 0.800000 %,validation error 1.300000 %
epoch 53 ,iteration 5299,training cost 2.559424 %,train error 0.400000 %,validation error 1.180000 %
epoch 54 ,iteration 5399,training cost 2.219880 %,train error 1.000000 %,validation error 1.290000 %
epoch 55 ,iteration 5499,training cost 2.622821 %,train error 0.800000 %,validation error 1.210000 %
epoch 56 ,iteration 5599,training cost 2.130047 %,train error 0.800000 %,validation error 1.200000 %
epoch 57 ,iteration 5699,training cost 2.701107 %,train error 1.000000 %,validation error 1.240000 %
epoch 58 ,iteration 5799,training cost 2.060536 %,train error 0.600000 %,validation error 1.130000 %
epoch 59 ,iteration 5899,training cost 2.248573 %,train error 0.600000 %,validation error 1.220000 %
epoch 60 ,iteration 5999,training cost 1.729096 %,train error 0.600000 %,validation error 1.120000 %
epoch 61 ,iteration 6099,training cost 2.020898 %,train error 0.400000 %,validation error 1.140000 %
epoch 62 ,iteration 6199,training cost 2.205420 %,train error 0.400000 %,validation error 1.160000 %
epoch 63 ,iteration 6299,training cost 2.649927 %,train error 0.800000 %,validation error 1.190000 %
epoch 64 ,iteration 6399,training cost 1.898479 %,train error 0.600000 %,validation error 1.080000 %
epoch 65 ,iteration 6499,training cost 1.618153 %,train error 0.200000 %,validation error 1.100000 %
epoch 66 ,iteration 6599,training cost 2.426698 %,train error 1.400000 %,validation error 1.140000 %
epoch 67 ,iteration 6699,training cost 1.513014 %,train error 0.400000 %,validation error 1.150000 %
epoch 68 ,iteration 6799,training cost 1.541039 %,train error 0.600000 %,validation error 1.150000 %
epoch 69 ,iteration 6899,training cost 1.605687 %,train error 0.400000 %,validation error 1.210000 %
epoch 70 ,iteration 6999,training cost 1.421666 %,train error 0.000000 %,validation error 1.100000 %
epoch 71 ,iteration 7099,training cost 1.879111 %,train error 0.400000 %,validation error 1.210000 %
epoch 72 ,iteration 7199,training cost 1.304339 %,train error 0.200000 %,validation error 1.130000 %
epoch 73 ,iteration 7299,training cost 1.688685 %,train error 0.400000 %,validation error 1.100000 %
epoch 74 ,iteration 7399,training cost 1.165626 %,train error 0.000000 %,validation error 1.240000 %
epoch 75 ,iteration 7499,training cost 1.456033 %,train error 0.400000 %,validation error 1.090000 %
epoch 76 ,iteration 7599,training cost 1.293605 %,train error 0.200000 %,validation error 1.110000 %
epoch 77 ,iteration 7699,training cost 1.617127 %,train error 0.400000 %,validation error 1.220000 %
epoch 78 ,iteration 7799,training cost 1.647062 %,train error 0.400000 %,validation error 1.170000 %
epoch 79 ,iteration 7899,training cost 1.361965 %,train error 0.000000 %,validation error 1.110000 %
epoch 80 ,iteration 7999,training cost 1.259456 %,train error 0.200000 %,validation error 1.170000 %
epoch 81 ,iteration 8099,training cost 1.542802 %,train error 0.600000 %,validation error 1.150000 %
epoch 82 ,iteration 8199,training cost 1.682695 %,train error 0.600000 %,validation error 1.130000 %
epoch 83 ,iteration 8299,training cost 1.704281 %,train error 0.600000 %,validation error 1.110000 %
epoch 84 ,iteration 8399,training cost 1.224968 %,train error 0.200000 %,validation error 1.220000 %
epoch 85 ,iteration 8499,training cost 1.191052 %,train error 0.000000 %,validation error 1.200000 %
epoch 86 ,iteration 8599,training cost 1.252012 %,train error 0.200000 %,validation error 1.020000 %
epoch 87 ,iteration 8699,training cost 0.981403 %,train error 0.000000 %,validation error 1.110000 %
epoch 88 ,iteration 8799,training cost 1.219347 %,train error 0.200000 %,validation error 1.080000 %
epoch 89 ,iteration 8899,training cost 1.491787 %,train error 0.600000 %,validation error 1.140000 %
epoch 90 ,iteration 8999,training cost 0.998579 %,train error 0.000000 %,validation error 1.160000 %
epoch 91 ,iteration 9099,training cost 1.011370 %,train error 0.200000 %,validation error 1.110000 %
epoch 92 ,iteration 9199,training cost 1.510810 %,train error 0.000000 %,validation error 1.050000 %
epoch 93 ,iteration 9299,training cost 1.283283 %,train error 0.400000 %,validation error 1.030000 %
epoch 94 ,iteration 9399,training cost 1.516577 %,train error 0.400000 %,validation error 0.990000 %
epoch 95 ,iteration 9499,training cost 0.925673 %,train error 0.000000 %,validation error 1.190000 %
epoch 96 ,iteration 9599,training cost 0.992749 %,train error 0.200000 %,validation error 1.080000 %
epoch 97 ,iteration 9699,training cost 0.899647 %,train error 0.000000 %,validation error 1.040000 %
epoch 98 ,iteration 9799,training cost 1.203923 %,train error 0.200000 %,validation error 1.140000 %
epoch 99 ,iteration 9899,training cost 1.064071 %,train error 0.200000 %,validation error 1.030000 %
epoch 100 ,iteration 9999,training cost 1.165594 %,train error 0.200000 %,validation error 1.080000 %
epoch 101 ,iteration 10099,training cost 1.128033 %,train error 0.200000 %,validation error 1.080000 %
epoch 102 ,iteration 10199,training cost 1.009215 %,train error 0.200000 %,validation error 1.120000 %
epoch 103 ,iteration 10299,training cost 0.851378 %,train error 0.000000 %,validation error 1.090000 %
epoch 104 ,iteration 10399,training cost 0.986432 %,train error 0.200000 %,validation error 1.140000 %
epoch 105 ,iteration 10499,training cost 1.067237 %,train error 0.200000 %,validation error 1.080000 %
epoch 106 ,iteration 10599,training cost 0.963637 %,train error 0.000000 %,validation error 1.110000 %
epoch 107 ,iteration 10699,training cost 1.568123 %,train error 0.400000 %,validation error 1.080000 %
epoch 108 ,iteration 10799,training cost 1.103866 %,train error 0.200000 %,validation error 1.120000 %
epoch 109 ,iteration 10899,training cost 1.004996 %,train error 0.200000 %,validation error 1.070000 %
epoch 110 ,iteration 10999,training cost 0.681295 %,train error 0.000000 %,validation error 1.020000 %
epoch 111 ,iteration 11099,training cost 0.852689 %,train error 0.200000 %,validation error 1.040000 %
epoch 112 ,iteration 11199,training cost 0.997264 %,train error 0.400000 %,validation error 1.070000 %
epoch 113 ,iteration 11299,training cost 0.687249 %,train error 0.000000 %,validation error 1.150000 %
epoch 114 ,iteration 11399,training cost 0.842590 %,train error 0.200000 %,validation error 1.020000 %
epoch 115 ,iteration 11499,training cost 0.744940 %,train error 0.000000 %,validation error 1.070000 %
epoch 116 ,iteration 11599,training cost 0.724715 %,train error 0.000000 %,validation error 1.110000 %
epoch 117 ,iteration 11699,training cost 0.530604 %,train error 0.000000 %,validation error 1.050000 %
epoch 118 ,iteration 11799,training cost 0.637268 %,train error 0.200000 %,validation error 1.090000 %
epoch 119 ,iteration 11899,training cost 1.034247 %,train error 0.000000 %,validation error 0.970000 %
epoch 120 ,iteration 11999,training cost 0.921685 %,train error 0.000000 %,validation error 1.120000 %
epoch 121 ,iteration 12099,training cost 0.653116 %,train error 0.200000 %,validation error 1.110000 %
epoch 122 ,iteration 12199,training cost 1.004536 %,train error 0.200000 %,validation error 1.110000 %
epoch 123 ,iteration 12299,training cost 0.919378 %,train error 0.200000 %,validation error 1.060000 %
epoch 124 ,iteration 12399,training cost 0.792282 %,train error 0.000000 %,validation error 1.020000 %
epoch 125 ,iteration 12499,training cost 0.578449 %,train error 0.000000 %,validation error 0.980000 %
epoch 126 ,iteration 12599,training cost 0.844635 %,train error 0.200000 %,validation error 1.050000 %
epoch 127 ,iteration 12699,training cost 0.708744 %,train error 0.000000 %,validation error 1.060000 %
epoch 128 ,iteration 12799,training cost 0.852377 %,train error 0.200000 %,validation error 1.120000 %
epoch 129 ,iteration 12899,training cost 0.639563 %,train error 0.000000 %,validation error 1.020000 %
epoch 130 ,iteration 12999,training cost 0.748949 %,train error 0.200000 %,validation error 1.050000 %
epoch 131 ,iteration 13099,training cost 0.765161 %,train error 0.000000 %,validation error 1.050000 %
epoch 132 ,iteration 13199,training cost 0.732240 %,train error 0.000000 %,validation error 0.980000 %
epoch 133 ,iteration 13299,training cost 0.632100 %,train error 0.000000 %,validation error 1.090000 %
epoch 134 ,iteration 13399,training cost 0.886157 %,train error 0.000000 %,validation error 1.050000 %
epoch 135 ,iteration 13499,training cost 0.777677 %,train error 0.000000 %,validation error 1.140000 %
